Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item,Claim Amount,Status,Close Amount,Disposition,Day Differences,Amount Differences
2006031403094,2006-03-09 00:00:00,2006-02-22 00:00:00,ALB,Albany International,Delta Air Lines,Property Damage,Checkpoint,Clothing - Shoes; belts; accessories; etc.,24.85,Denied,0.0,Deny,15.0,24.85
2009020555213,2009-01-27 00:00:00,2009-01-18 00:00:00,FLL,Ft. Lauderdale-Hollywood International,USAir,Property Damage,Checked Baggage,Locks,83.95,Denied,0.0,Deny,9.0,83.95
2009052659474,2009-05-19 00:00:00,2009-05-14 00:00:00,MSY,New Orleans International,Continental Airlines,Property Damage,Checkpoint,Cell Phones,349.99,Approved,350.0,Approve in Full,5.0,-0.009999999999990905
2005101894773,2005-10-12 00:00:00,2005-09-15 00:00:00,ORD,Chicago O'Hare International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Cameras - Digital,345.0,Denied,0.0,Deny,27.0,345.0
2005012874704,2005-01-11 00:00:00,2004-01-05 00:00:00,HNL,Honolulu International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,108.0,Denied,0.0,Deny,372.0,108.0
2007060426194,2007-06-01 00:00:00,2007-04-09 00:00:00,PDX,Portland International,Southwest Airlines,Property Damage,Checkpoint,Eyeglasses - (including contact lenses),150.0,Settled,105.0,Settle,53.0,45.0
2008071146836,2008-07-07 00:00:00,2008-06-27 00:00:00,JFK,John F. Kennedy International,American Airlines,Passenger Property Loss,Checkpoint,Clothing - Shoes; belts; accessories; etc.,68.22,Denied,0.0,Deny,10.0,68.22
2005070188086,2005-06-28 00:00:00,2005-05-13 00:00:00,LIH,Lihue Airport,Hawaiian Airlines,Passenger Property Loss,Checked Baggage,Luggage (all types including footlockers),6.23,Approved,6.23,Approve in Full,46.0,0.0
2008112152635,2008-11-19 00:00:00,2008-11-15 00:00:00,MFE,McAllen-Miller International,Continental Airlines,Passenger Property Loss,Checked Baggage,Other,11.95,Denied,0.0,Deny,4.0,11.95
2004071359190,2004-06-28 00:00:00,2004-06-16 00:00:00,AVL,Asheville Regional Airport,Northwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),85.0,Approved,85.0,Approve in Full,12.0,0.0
2004122069496,2004-11-04 00:00:00,2004-10-08 00:00:00,SNA,John Wayne,Alaska Airlines,Passenger Property Loss,Checked Baggage,Luggage (all types including footlockers),17.0,Approved,17.0,Approve in Full,27.0,0.0
0804071M,2003-08-04 00:00:00,2003-07-23 00:00:00,MSP,Minneapolis/ St.Paul International Airport,Delta Air Lines,Property Damage,Checkpoint,Cameras - Digital,100.0,Denied,0.0,Deny,12.0,100.0
2005020275428,2005-01-11 00:00:00,2005-01-03 00:00:00,OMA,Eppley Airfield,Northwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),99.99,Settled,50.0,Settle,8.0,49.989999999999995
2005030977370,2005-02-01 00:00:00,2005-01-27 00:00:00,DFW,Dallas-Fort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,129.0,Denied,0.0,Deny,5.0,129.0
2006040504076,2006-03-27 00:00:00,2006-03-19 00:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),250.0,Denied,0.0,Deny,8.0,250.0
2005090692157,2005-08-30 00:00:00,2005-08-13 00:00:00,SJC,Norman Y Mineta San Jose International,Alaska Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,20.0,Approved,20.0,Approve in Full,17.0,0.0
2007122837070,2007-12-14 00:00:00,2007-09-23 00:00:00,MYR,Myrtle Beach International,Spirit Airlines,Property Damage,Checkpoint,Watches - Expensive more than $100,619.21,Approved,619.21,Approve in Full,82.0,0.0
2008011838142,2008-01-09 00:00:00,2007-12-28 00:00:00,BOI,Boise Air Terminal/Gowen Field,Southwest Airlines,Passenger Property Loss,Checked Baggage,Eyeglasses - (including contact lenses),489.0,Settled,244.5,Settle,12.0,244.5
0227000L,2003-02-27 00:00:00,2003-01-29 00:00:00,ONT,Ontario International,UAL,Property Damage,Checkpoint,Clothing - Shoes; belts; accessories; etc.,55.0,Approved,55.0,Approve in Full,29.0,0.0
2008033141617,2008-03-13 00:00:00,2008-01-28 00:00:00,EWR,Newark International Airport,Continental Airlines,Passenger Property Loss,Checkpoint,Cameras - Digital,263.59,Denied,0.0,Deny,45.0,263.59
0707092M,2003-07-07 00:00:00,2003-06-24 00:00:00,TUL,Tulsa International Airport,Northwest Airlines,Property Damage,Checked Baggage,Locks,130.0,Denied,0.0,Deny,13.0,130.0
2006090812273,2006-09-01 00:00:00,2006-06-07 00:00:00,MEM,Memphis International Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Paintings and Pictures (including frames; etchings; photos; etc); Tools - Power (including air tools; not in a vehicle),529.47,Denied,0.0,Deny,86.0,529.47
2007062527453,2007-06-21 00:00:00,2007-06-03 00:00:00,SMF,Sacramento International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Luggage (all types including footlockers); Other,796.37,Denied,0.0,Deny,18.0,796.37
2006052306816,2006-05-22 00:00:00,2006-04-17 00:00:00,PHX,Phoenix Sky Harbor International,USAir,Passenger Property Loss,Checkpoint,Other,55.0,Denied,0.0,Deny,35.0,55.0
2007062927626,2007-06-25 00:00:00,2007-06-04 00:00:00,CLT,Charlotte/Douglas International Airport,Jet Blue,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,95.0,Denied,0.0,Deny,21.0,95.0
2007031522316,2007-03-12 00:00:00,2007-03-02 00:00:00,SJC,Norman Y Mineta San Jose International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,95.0,Settled,47.5,Settle,10.0,47.5
2007091131644,2007-09-06 00:00:00,2007-08-28 00:00:00,OMA,Eppley Airfield,Frontier Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers); Other,30.0,Approved,30.0,Approve in Full,9.0,0.0
2005092393184,2005-09-16 00:00:00,2005-08-01 00:00:00,PDX,Portland International,Alaska Airlines,Property Damage,Checkpoint,Locks,170.0,Approved,170.0,Approve in Full,46.0,0.0
2006063008789,2006-06-28 00:00:00,2006-05-13 00:00:00,PHL,Philadelphia International Airport,British Airways,Property Damage,Checked Baggage,Luggage (all types including footlockers),150.0,Approved,150.0,Approve in Full,46.0,0.0
2007080229536,2007-07-30 00:00:00,2007-07-13 00:00:00,PHX,Phoenix Sky Harbor International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,156.59,Settled,78.0,Settle,17.0,78.59
2009052659448,2009-05-19 00:00:00,2009-05-16 00:00:00,DEN,Denver International Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Costume,100.0,Denied,0.0,Deny,3.0,100.0
2004092763954,2004-09-13 00:00:00,2004-07-06 00:00:00,DTW,Detroit Metropolitan Wayne County Airport,Northwest Airlines,Passenger Theft,Checked Baggage,Other,91.0,Approved,91.0,Approve in Full,69.0,0.0
0827013M,2003-08-27 00:00:00,2003-08-03 00:00:00,IAD,Washington Dulles International,UAL,Property Damage,Checked Baggage,Other,32.1,Approved,32.1,Approve in Full,24.0,0.0
2005120296877,2005-11-18 00:00:00,2005-11-03 00:00:00,SEA,Seattle-Tacoma International,Northwest Airlines,Passenger Property Loss,Checked Baggage,Other,18.78,Denied,0.0,Deny,15.0,18.78
2005110195500,2005-10-24 00:00:00,2005-10-17 00:00:00,RIC,Richmond International,American Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,54.13,Settled,27.06,Settle,7.0,27.070000000000004
